wave,Fobar,oza,ag,aw
650.0,1.59237010309278,0.0636,0.0,0.1728
651.0,1.6231991836734698,0.0625,0.0,0.1813
652.0,1.6093848979591798,0.0615,0.0,0.1791
653.0,1.59198896907217,0.0606,0.0,0.1714
654.0,1.57596295918367,0.0597,0.0,0.1596
655.0,1.5328446391752601,0.0589,0.0,0.1422
656.0,1.3365342857143,0.058,0.0,0.1169
657.0,1.4145385567010398,0.0572,0.0,0.0874
658.0,1.53301510204082,0.0563,0.0,0.0571
659.0,1.54629762886598,0.0555,0.0,0.0291
660.0,1.56144319587629,0.0547,0.0,0.008
661.0,1.5672742857142898,0.0538,0.0,0.0
662.0,1.57934484536083,0.053,0.0,0.0
663.0,1.5524157731958799,0.0521,0.0,0.0
664.0,1.5422889795918402,0.0513,0.0,0.0
665.0,1.55727628865979,0.0505,0.0,0.0011
666.0,1.54898,0.0496,0.0,0.0017
667.0,1.53897896907216,0.0488,0.0,0.0015
668.0,1.54001783505155,0.0479,0.0,0.0011
669.0,1.5500067010309302,0.0471,0.0,0.0005
670.0,1.53726216494845,0.0463,0.0,0.0001
671.0,1.53263783505155,0.0454,0.0,0.0
672.0,1.52396773195876,0.0446,0.0,0.0
673.0,1.52004773195876,0.0437,0.0,0.0
674.0,1.51630824742268,0.0429,0.0,0.0
675.0,1.512740625,0.0421,0.0,0.0
676.0,1.50935206185567,0.0412,0.0,0.0
677.0,1.5061704123711301,0.0404,0.0,0.0
678.0,1.50317536082474,0.0396,0.0,0.0
679.0,1.50034260416667,0.0387,0.0,0.0
680.0,1.49769134020619,0.0379,0.0,0.0004
681.0,1.49524515463918,0.037,0.0,0.0006
682.0,1.4929771875,0.0362,0.0,0.0008
683.0,1.49088742268041,0.0354,0.0,0.001
684.0,1.48898,0.0345,0.0,0.0014
685.0,1.48726835051546,0.0337,0.0,0.0017
686.0,1.48573239583333,0.0328,0.0672,0.0016
687.0,1.4843678125000002,0.032,0.81,0.0015
688.0,1.4832022680412398,0.0312,0.65,0.0014
